"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31318","Runs Cucumber Scenarios","Default suite","Mon Oct 28 21:58:12 EDT 2024","passed","Mon Oct 28 21:58:43 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","35516","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:27:48 EDT 2024","passed","Mon Oct 28 22:28:24 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","35150","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:05:18 EDT 2024","passed","Mon Oct 28 22:05:53 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","157279","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:22:27 EDT 2024","passed","Mon Oct 28 22:25:05 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","31005","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:01:55 EDT 2024","passed","Mon Oct 28 22:02:26 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","70784","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:06:31 EDT 2024","passed","Mon Oct 28 22:07:41 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","32733","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:00:50 EDT 2024","passed","Mon Oct 28 22:01:23 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","71299","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:08:50 EDT 2024","passed","Mon Oct 28 22:10:01 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","128942","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:25:05 EDT 2024","passed","Mon Oct 28 22:27:13 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","37479","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:05:53 EDT 2024","passed","Mon Oct 28 22:06:31 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","38451","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:04:39 EDT 2024","passed","Mon Oct 28 22:05:18 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","34509","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:27:14 EDT 2024","passed","Mon Oct 28 22:27:48 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","31702","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:01:23 EDT 2024","passed","Mon Oct 28 22:01:55 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","42309","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:14:15 EDT 2024","passed","Mon Oct 28 22:14:58 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","34373","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:15:38 EDT 2024","passed","Mon Oct 28 22:16:13 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","34350","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:17:21 EDT 2024","passed","Mon Oct 28 22:17:55 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","96502","Runs Cucumber Scenarios","Default suite","Mon Oct 28 22:19:14 EDT 2024","passed","Mon Oct 28 22:20:51 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
"","30805","Runs Cucumber Scenarios","Default suite","Mon Oct 28 21:57:41 EDT 2024","passed","Mon Oct 28 21:58:12 EDT 2024","runner.TestRunner","Default test","runner.TestRunner","runScenario"
